MDR_REPORT_KEY,DEVICE_EVENT_KEY,IMPLANT_FLAG,DATE_REMOVED_FLAG,DEVICE_SEQUENCE_NO,IMPLANT_DATE_YEAR,DATE_REMOVED_YEAR,SERVICED_BY_3RD_PARTY_FLAG,DATE_RECEIVED,BRAND_NAME,GENERIC_NAME,MANUFACTURER_D_NAME,MANUFACTURER_D_ADDRESS_1,MANUFACTURER_D_ADDRESS_2,MANUFACTURER_D_CITY,MANUFACTURER_D_STATE_CODE,MANUFACTURER_D_ZIP_CODE,MANUFACTURER_D_ZIP_CODE_EXT,MANUFACTURER_D_COUNTRY_CODE,MANUFACTURER_D_POSTAL_CODE,DEVICE_OPERATOR,EXPIRATION_DATE_OF_DEVICE,MODEL_NUMBER,CATALOG_NUMBER,LOT_NUMBER,OTHER_ID_NUMBER,DEVICE_AVAILABILITY,DATE_RETURNED_TO_MANUFACTURER,DEVICE_REPORT_PRODUCT_CODE,DEVICE_AGE_TEXT,DEVICE_EVALUATED_BY_MANUFACTUR,COMBINATION_PRODUCT_FLAG,UDI-DI,UDI-PUBLIC
1961834,\N,\N,\N,1,None,None,None,2011/01/14,DA VINCI S SURGICAL SYSTEM,ENDOSCOPIC INSTRUMENT CONTROL SYSTEM,"INTUITIVE SURGICAL,INC.",\N,\N,SUNNYVALE,CA,\N,\N,\N,\N,0,\N,IS2000 A5.1P8,\N,\N,\N,N,\N,NAY,\N,N,N,\N,"\N"
1980770,\N,\N,\N,1,None,None,None,2011/02/07,DA VINCI SI SURGICAL SYSTEM,ENDOSCOPIC INSTRUMENT CONTROL SYSTEM,"INTUITIVE SURGICAL,INC.",\N,\N,SUNNYVALE,CA,\N,\N,\N,\N,0HP,\N,IS3000 A6.0P5,\N,\N,\N,N,\N,NAY,\N,N,N,\N,"\N"
2023904,\N,\N,\N,1,None,None,None,2011/03/18,DA VINCI SI SURGICAL SYSTEM,ENDOSCOPIC INSTRUMENT CONTROL SYSTEM,"INTUITIVE SURGICAL,INC.",\N,\N,SUNNYVALE,CA,\N,\N,\N,\N,0HP,\N,IS3000 A6.0P5,\N,\N,\N,N,\N,NAY,\N,N,N,\N,"\N"
2065919,\N,\N,\N,1,None,None,None,2011/04/21,DA VINCI SI SURGICAL SYSTEM,ENDOSCOPIC INSTRUMENT CONTROL SYSTEM,"INTUITIVE SURGICAL,INC.",\N,\N,SUNNYVALE,CA,\N,\N,\N,\N,0HP,\N,IS3000 A6.0P5,\N,\N,\N,N,\N,NAY,DA,N,N,\N,"\N"
2066439,\N,\N,\N,1,None,None,None,2011/04/21,DA VINCI S SURGICAL SYSTEM,ENDOSCOPIC INSTRUMENT CONTROL SYSTEM,"INTUITIVE SURGICAL,INC.",\N,\N,SUNNYVALE,CA,\N,\N,\N,\N,0HP,\N,IS2000 A5.1P8,\N,\N,\N,Y,\N,NAY,\N,N,N,\N,"\N"
2105804,\N,\N,\N,1,None,None,None,2011/05/27,DA VINCI S SURGICAL SYSTEM,ENDOSCOPIC INSTRUMENT CONTROL SYSTEM,"INTUITIVE SURGICAL,INC.",\N,\N,SUNNYVALE,CA,\N,\N,\N,\N,0HP,\N,IS2000 A5.1P8,\N,\N,\N,N,\N,NAY,\N,N,N,\N,"\N"
2192397,\N,\N,\N,1,None,None,None,2011/07/25,DE VINCI SI SURGICAL SYSTEM,"ENDOSCOPIC INSTRUMENT CONTROL SYSTEM, NAY","INTUITIVE SURGICAL, INC.",\N,\N,SUNNYVALE,CA,\N,\N,US,\N,0HP,\N,IS3000 A6.0P6,\N,\N,\N,N,\N,NAY,DA,R,N,\N,"\N"
2241885,\N,\N,\N,1,None,None,None,2011/09/09,DA VINCI SI SURGICAL SYSTEM,ENDOSCOPIC INSTRUMENT CONTROL SYSTEM,"INTUITIVE SURGICAL,INC.",\N,\N,SUNNYVALE,CA,\N,\N,\N,\N,0HP,\N,IS3000 A6.0P6,\N,\N,\N,N,\N,NAY,\N,N,N,\N,"\N"
2250270,\N,\N,\N,1,None,None,None,2011/09/15,DA VINCI S SURGICAL SYSTEM,ENDOSCOPIC INSTRUMENT CONTROL SYSTEM,"INTUITIVE SURGICAL,INC.",\N,\N,SUNNYVALE,CA,\N,\N,\N,\N,0HP,\N,IS2000 A5.1P8,\N,\N,\N,Y,\N,NAY,\N,N,N,\N,"\N"
2269019,\N,\N,\N,1,None,None,None,2011/09/29,DA VINCI SI SURGICAL SYSTEM,ENDOSCOPIC INSTRUMENT CONTROL SYSTEM,"INTUITIVE SURGICAL,INC.",\N,\N,SUNNYVALE,CA,\N,\N,\N,\N,0HP,\N,IS3000 A6.0P6,\N,\N,\N,N,\N,NAY,\N,N,N,\N,"\N"
