MDR_REPORT_KEY,DATE_RECEIVED,EVENT_TYPE,BRAND_NAME,GENERIC_NAME,MODEL_NUMBER,LOT_NUMBER,DEVICE_OPERATOR,REPORTER_OCCUPATION_CODE,FOI_TEXT
23782948,12/11/2025,M,HUGO RAS SYSTEM,MODULAR ELECTROMECHANICAL SURGICAL SYSTEM,MRASC0002,\N,0HP,100,"MEDTRONIC SUBMITS THIS REPORT TO COMPLY WITH FDA REGULATIONS 21 CFR PARTS 4 AND 803. MEDTRONIC HAS MADE REASONABLE EFFORTS TO PROVIDE AS MUCH RELEVANT INFORMATION AS IS AVAILABLE TO THE COMPANY AS OF THE SUBMISSION DATE OF THIS REPORT. THIS REPORT DOES NOT CONSTITUTE AN ADMISSION OR A CONCLUSION BY FDA, MEDTRONIC, OR ITS EMPLOYEES THAT THE DEVICE, MEDTRONIC, OR ITS EMPLOYEE CAUSED OR CONTRIBUTED TO THE EVENT DESCRIBED IN THE REPORT. ANY REQUIRED FIELDS THAT ARE UNPOPULATED ARE BLANK BECAUSE THE INFORMATION IS CURRENTLY UNKNOWN OR UNAVAILABLE. MEDTRONIC WILL SUBMIT A SUPPLEMENTAL REPORT IF ADDITIONAL RELEVANT INFORMATION BECOMES KNOWN."
23782948,12/11/2025,M,HUGO RAS SYSTEM,MODULAR ELECTROMECHANICAL SURGICAL SYSTEM,MRASC0002,\N,0HP,100,"IT WAS REPORTED THAT PRIOR TO A ROBOTIC LAPAROSCOPIC PROSTATECTOMY PROCEDURE, WHILE THE PATIENT WAS UNDER ANESTHESIA, WHEN THE SURGICAL TEAM ATTEMPTED TO DOCK THE ARM, THE SYSTEM TRIGGERED AN UNRECOVERABLE ERROR. THE TEAM RESTARTED THE ARM AND PERFORMED A RECALIBRATION, AFTER WHICH THE ARM INITIALIZED SUCCESSFULLY WITHOUT ANY FURTHER ISSUES. THE SURGERY WAS THEN ABLE TO PROCEED. THE ANESTHESIA TIME WAS EXTENDED BY APPROXIMATELY 5 TO 10 MINUTES DUE TO THE REPORTED ISSUE."
23782948,12/11/2025,M,HUGO RAS SYSTEM,MODULAR ELECTROMECHANICAL SURGICAL SYSTEM,MRASC0002,\N,0HP,100,"H2) ADDITIONAL INFORMATION: D3 (COUNTRY CODE, POSTAL CODE), H10 H3) EVALUATION SUMMARY: MEDTRONIC LED AN EVALUATION OF THE REPORTED ARM CART ASSEMBLY IN THE FIELD AND THE ASSOCIATED DEVICE LOGS. REVIEW OF THE FIELD SERVICE NOTES INDICATED ANALYSIS IDENTIFIED A FAILURE CODE FOR 'LINKED TO ROBOTIC ARM JOINT 2 MASTER POSITIONING SENSOR REDUNDANCY' OCCURRED, ASSOCIATED WITH MULTIPLE ERROR CODES. THE JOINT POSITION SENSOR BROOMING SCRIPT WAS PERFORMED ON ROBOTIC ARM JOINT 2 SUCCESSFULLY IN THE FIELD AND THE ARM CART NOW WORKS PROPERLY. EVALUATION OF THE LOGS INDICATED THAT DURING RUNTIME, THE ARM CART EXPERIENCED A FAILURE OF THE POTENTIOMETER REDUNDANCY CHECK ON ROBOTIC ARM JOINT 2, AS THE MOTOR POSITION SENSOR AND THE JOINT POSITION SENSOR DIFFERED BY MORE THAN THE ACCEPTABLE LIMIT. AN ERROR CODE FOR 'LINKED TO SUBSYSTEM ROBOTIC APPLICATION VALIDATION - REDUNDANT POSITION SENSING CHECK' WAS OBSERVED, INDICATING THAT AFTER CALIBRATION IF THE PRIMARY AND SECONDARY POSITION SENSORS FOR ANY DEGREES OF FREEDOM DIFFER BY GREATER THAN THE SPECIFIED AMOUNTS, THE SUBSYSTEM ROBOTIC APPLICATION SOFTWARE WILL TRIGGER A SYSTEM RECOVERABLE INOPERABLE ERROR AND A SUBSYSTEM NON-RECOVERABLE INOPERABLE ERROR. AN ERROR CODE FOR 'LINKED TO ROBOTIC ARM ENCODER REDUNDANCY' WAS ALSO OBSERVED, INDICATING THAT AFTER CALIBRATION IF THE ABSOLUTE DIFFERENCE BETWEEN THE PRIMARY AND SECONDARY POSITIONS ARE GREATER THAN THE LIMIT FOR THE SPECIFIC JOINTS, THE ROBOTIC ARM SOFTWARE WILL TRIGGER A SYSTEM RECOVERABLE INOPERABLE ERROR AND A SUBSYSTEM NON-RECOVERABLE INOPERABLE ERROR. EVALUATION OF THE ARM CART ASSEMBLY CONFIRMED THE REPORTED CONDITION, HOWEVER, THE INVESTIGATION CONCLUDED THERE WERE NO ABNORMALITIES THAT WOULD HAVE CAUSED OR CONTRIBUTED TO THE REPORTED CONDITION; THEREFORE, THE INVESTIGATION WAS NOT ABLE TO IDENTIFY A ROOT CAUSE. HOWEVER, THE MOST LIKELY CAUSE COULD BE TRACED TO A POTENTIOMETER FAILURE AND CONNECTIVITY ISSUES BETWEEN THE Z-SLIDE AND INSTRUMENT DRIVE UNIT (IDU). THIS IS RELATED TO DEVICE DESIGN SUCH AS SMALL MOVEMENTS IN THE CONNECTOR DUE TO IMPACT OR AN INADEQUATE STRAIN RELIEF THAT CAUSE THE CONTACTS TO SHIFT ONTO REGIONS OF THE MATING CONTACTS THAT ARE CONTAMINATED WITH FLUX, WHICH PREVENTS ELECTRICAL CONDUCTIVITY. ADDITIONALLY, DAMAGE TO THE ASSEMBLY FIXTURE PIN ALLOWED TOO MUCH INTERFERENCE BETWEEN CONNECTOR COMPONENTS, LEADING TO CONNECTOR DAMAGE AND LOSS OF CONNECTIVITY. IMPROVEMENTS HAVE BEEN INITIATED TO MITIGATE THIS CONDITION. RECORDS FROM EACH MANUFACTURING LOT ARE THOROUGHLY REVIEWED TO ENSURE THAT PRODUCTS ARE RELEASED MEETING ALL MEDTRONIC QUALITY RELEASE SPECIFICATIONS AT THE TIME OF MANUFACTURE. MEDTRONIC SUBMITS THIS REPORT TO COMPLY WITH FDA REGULATIONS 21 CFR PARTS 4 AND 803. MEDTRONIC HAS MADE REASONABLE EFFORTS TO PROVIDE AS MUCH RELEVANT INFORMATION AS IS AVAILABLE TO THE COMPANY AS OF THE SUBMISSION DATE OF THIS REPORT. THIS REPORT DOES NOT CONSTITUTE AN ADMISSION OR A CONCLUSION BY FDA, MEDTRONIC, OR ITS EMPLOYEES THAT THE DEVICE, MEDTRONIC, OR ITS EMPLOYEE CAUSED OR CONTRIBUTED TO THE EVENT DESCRIBED IN THE REPORT. ANY REQUIRED FIELDS THAT ARE UNPOPULATED ARE BLANK BECAUSE THE INFORMATION IS CURRENTLY UNKNOWN OR UNAVAILABLE. MEDTRONIC WILL SUBMIT A SUPPLEMENTAL REPORT IF ADDITIONAL RELEVANT INFORMATION BECOMES KNOWN."
23782948,12/11/2025,M,HUGO RAS SYSTEM,MODULAR ELECTROMECHANICAL SURGICAL SYSTEM,MRASC0002,\N,0HP,100,"IT WAS REPORTED THAT PRIOR TO A ROBOTIC LAPAROSCOPIC PROSTATECTOMY PROCEDURE, WHILE THE PATIENT WAS IN THE OPERATING ROOM AND UNDER ANESTHESIA, WHEN THE SURGICAL TEAM ATTEMPTED TO DOCK THE ARM CART ASSEMBLY, THE SYSTEM TRIGGERED AN UNRECOVERABLE ERROR. THE TEAM R ESTARTED THE ARM CART AND PERFORMED A RECALIBRATION, AFTER WHICH THE ARM CART INITIALIZED SUCCESSFULLY WITHOUT ANY FURTHER ISSUES. THE SURGERY WAS THEN ABLE TO PROCEED. THE ANESTHESIA TIME WAS EXTENDED BY APPROXIMATELY FIVE TO TEN MINUTES DUE TO THE REPORTED ISSUE."
23783286,12/11/2025,M,HUGO RAS SYSTEM,MODULAR ELECTROMECHANICAL SURGICAL SYSTEM,MRASC0002,\N,0HP,000,"MEDTRONIC SUBMITS THIS REPORT TO COMPLY WITH FDA REGULATIONS 21 CFR PARTS 4 AND 803. MEDTRONIC HAS MADE REASONABLE EFFORTS TO PROVIDE AS MUCH RELEVANT INFORMATION AS IS AVAILABLE TO THE COMPANY AS OF THE SUBMISSION DATE OF THIS REPORT. THIS REPORT DOES NOT CONSTITUTE AN ADMISSION OR A CONCLUSION BY FDA, MEDTRONIC, OR ITS EMPLOYEES THAT THE DEVICE, MEDTRONIC, OR ITS EMPLOYEE CAUSED OR CONTRIBUTED TO THE EVENT DESCRIBED IN THE REPORT. ANY REQUIRED FIELDS THAT ARE UNPOPULATED ARE BLANK BECAUSE THE INFORMATION IS CURRENTLY UNKNOWN OR UNAVAILABLE. MEDTRONIC WILL SUBMIT A SUPPLEMENTAL REPORT IF ADDITIONAL RELEVANT INFORMATION BECOMES KNOWN."
23783286,12/11/2025,M,HUGO RAS SYSTEM,MODULAR ELECTROMECHANICAL SURGICAL SYSTEM,MRASC0002,\N,0HP,000,"IT WAS REPORTED THAT POST-OPERATIVE TO A ROBOTIC LAPAROSCOPIC PROSTATECTOMY PROCEDURE, WHEN THE SURGICAL TEAM WAS UNDRAPING THE ARM, THE ARM TRIGGERED AN UNRECOVERABLE ERROR. TO CONTINUE UNDRAPING THE ARM, THE TEAM PERFORMED A RESTART, AFTER WHICH THE ARM WAS SUCCESSFULLY UNDRAPED AND PLACED IN THE PARKING/STORAGE POSITION. THE ARM WAS THEN ABLE TO CALIBRATE WITHOUT ANY FURTHER ISSUE."
23783286,12/11/2025,M,HUGO RAS SYSTEM,MODULAR ELECTROMECHANICAL SURGICAL SYSTEM,MRASC0002,\N,0HP,000,"H2) ADDITIONAL INFORMATION: D3 (COUNTRY CODE, POSTAL CODE), H10 H3) EVALUATION SUMMARY: MEDTRONIC LED AN EVALUATION OF THE REPORTED ARM CART ASSEMBLY IN THE FIELD AND THE ASSOCIATED DEVICE LOGS. REVIEW OF THE FIELD SERVICE NOTES INDICATED THE ANALYSIS IDENTIFIED A FAILURE CODE FOR 'LINKED TO ROBOTIC ARM JOINT 2 MASTER POSITIONING SENSOR REDUNDANCY' OCCURRED, ASSOCIATED WITH MULTIPLE ERROR CODES. THE JOINT POSITION SENSOR BROOMING SCRIPT WAS PERFORMED ON ROBOTIC ARM JOINT 2 SUCCESSFULLY IN THE FIELD AND THE ARM CART NOW WORKS PROPERLY. EVALUATION OF THE LOGS INDICATED THAT DURING RUNTIME, THE ARM CART EXPERIENCED A FAILURE OF THE POTENTIOMETER REDUNDANCY CHECK ON ROBOTIC ARM JOINT 2, AS THE MOTOR POSITION SENSOR AND THE JOINT POSITION SENSOR DIFFERED BY MORE THAN THE ACCEPTABLE LIMIT. AN ERROR CODE FOR 'LINKED TO SUBSYSTEM ROBOTIC APPLICATION VALIDATION - REDUNDANT POSITION SENSING CHECK' WAS OBSERVED, INDICATING THAT AFTER CALIBRATION IF THE PRIMARY AND SECONDARY POSITION SENSORS FOR ANY DEGREES OF FREEDOM DIFFER BY GREATER THAN THE SPECIFIED AMOUNTS, THE SUBSYSTEM ROBOTIC APPLICATION SOFTWARE WILL TRIGGER A SYSTEM RECOVERABLE INOPERABLE ERROR AND A SUBSYSTEM NON-RECOVERABLE INOPERABLE ERROR. AN ERROR CODE FOR 'LINKED TO  ROBOTIC ARM ENCODER REDUNDANCY' WAS ALSO OBSERVED, INDICATING THAT AFTER CALIBRATION IF THE ABSOLUTE DIFFERENCE BETWEEN THE PRIMARY AND SECONDARY POSITIONS ARE GREATER THAN THE LIMIT FOR THE SPECIFIC JOINTS, THE ROBOTIC ARM SOFTWARE WILL TRIGGER A SYSTEM RECOVERABLE INOPERABLE ERROR AND A SUBSYSTEM NON-RECOVERABLE INOPERABLE ERROR. EVALUATION OF THE ARM CART ASSEMBLY CONFIRMED THE REPORTED CONDITION, HOWEVER, THE INVESTIGATION CONCLUDED THERE WERE NO ABNORMALITIES THAT WOULD HAVE CAUSED OR CONTRIBUTED TO THE REPORTED CONDITION; THEREFORE, THE INVESTIGATION WAS NOT ABLE TO IDENTIFY A ROOT CAUSE. HOWEVER, THE MOST LIKELY CAUSE COULD BE TRACED TO A POTENTIOMETER FAILURE AND CONNECTIVITY ISSUES BETWEEN THE Z-SLIDE AND INSTRUMENT DRIVE UNIT (IDU). THIS IS RELATED TO DEVICE DESIGN SUCH AS SMALL MOVEMENTS IN THE CONNECTOR DUE TO IMPACT OR AN INADEQUATE STRAIN RELIEF THAT CAUSE THE CONTACTS TO SHIFT ONTO REGIONS OF THE MATING CONTACTS THAT ARE CONTAMINATED WITH FLUX, WHICH PREVENTS ELECTRICAL CONDUCTIVITY. ADDITIONALLY, DAMAGE TO THE ASSEMBLY FIXTURE PIN ALLOWED TOO MUCH INTERFERENCE BETWEEN CONNECTOR COMPONENTS, LEADING TO CONNECTOR DAMAGE AND LOSS OF CONNECTIVITY. IMPROVEMENTS HAVE BEEN INITIATED TO MITIGATE THIS CONDITION. RECORDS FROM EACH MANUFACTURING LOT ARE THOROUGHLY REVIEWED TO ENSURE THAT PRODUCTS ARE RELEASED MEETING ALL MEDTRONIC QUALITY RELEASE SPECIFICATIONS AT THE TIME OF MANUFACTURE. MEDTRONIC SUBMITS THIS REPORT TO COMPLY WITH FDA REGULATIONS 21 CFR PARTS 4 AND 803. MEDTRONIC HAS MADE REASONABLE EFFORTS TO PROVIDE AS MUCH RELEVANT INFORMATION AS IS AVAILABLE TO THE COMPANY AS OF THE SUBMISSION DATE OF THIS REPORT. THIS REPORT DOES NOT CONSTITUTE AN ADMISSION OR A CONCLUSION BY FDA, MEDTRONIC, OR ITS EMPLOYEES THAT THE DEVICE, MEDTRONIC, OR ITS EMPLOYEE CAUSED OR CONTRIBUTED TO THE EVENT DESCRIBED IN THE REPORT. ANY REQUIRED FIELDS THAT ARE UNPOPULATED ARE BLANK BECAUSE THE INFORMATION IS CURRENTLY UNKNOWN OR UNAVAILABLE. MEDTRONIC WILL SUBMIT A SUPPLEMENTAL REPORT IF ADDITIONAL RELEVANT INFORMATION BECOMES KNOWN."
23783286,12/11/2025,M,HUGO RAS SYSTEM,MODULAR ELECTROMECHANICAL SURGICAL SYSTEM,MRASC0002,\N,0HP,000,"IT WAS REPORTED THAT POST-OPERATIVE TO A ROBOTIC LAPAROSCOPIC PROSTATECTOMY PROCEDURE, WHEN THE SURGICAL TEAM WAS UNDRAPING THE ARM CART ASSEMBLY, IT TRIGGERED AN UNRECOVERABLE ERROR. TO CONTINUE UNDRAPING THE ARM CART, THE TEAM PERFORMED A RESTART, AFTER WHICH THE ARM CART WAS SUCCESSFULLY UNDRAPED AND PLACED IN THE PARKING/STORAGE POSITION. THE ARM CART WAS THEN ABLE TO CALIBRATE WITHOUT ANY FURTHER ISSUE."
23789777,12/12/2025,M,HUGO RAS SYSTEM,MODULAR ELECTROMECHANICAL SURGICAL SYSTEM,MRASI0004,\N,0HP,000,"MEDTRONIC SUBMITS THIS REPORT TO COMPLY WITH FDA REGULATIONS 21 CFR PARTS 4 AND 803. MEDTRONIC HAS MADE REASONABLE EFFORTS TO PROVIDE AS MUCH RELEVANT INFORMATION AS IS AVAILABLE TO THE COMPANY AS OF THE SUBMISSION DATE OF THIS REPORT. THIS REPORT DOES NOT CONSTITUTE AN ADMISSION OR A CONCLUSION BY FDA, MEDTRONIC, OR ITS EMPLOYEES THAT THE DEVICE, MEDTRONIC, OR ITS EMPLOYEE CAUSED OR CONTRIBUTED TO THE EVENT DESCRIBED IN THE REPORT. ANY REQUIRED FIELDS THAT ARE UNPOPULATED ARE BLANK BECAUSE THE INFORMATION IS CURRENTLY UNKNOWN OR UNAVAILABLE. MEDTRONIC WILL SUBMIT A SUPPLEMENTAL REPORT IF ADDITIONAL RELEVANT INFORMATION BECOMES KNOWN."
23789777,12/12/2025,M,HUGO RAS SYSTEM,MODULAR ELECTROMECHANICAL SURGICAL SYSTEM,MRASI0004,\N,0HP,000,"IT WAS REPORTED THAT THERE WAS DAMAGE TO THE BIPOLAR FENESTRATED GRASPER (BFG) TIP SIDE PART THAT WAS DISCOVERED IN THE PRE-STERILIZATION INSPECTION. NO PATIENT INFORMATION WAS PROVIDED."
