一级分类(清洗后中文器械名),二级分类(中观大类),三级分类(宏观大类),关联器械对数,死亡事件数,伤害事件数,故障事件数,事件总数
德康G6持续葡萄糖监测系统,持续葡萄糖监测系统,血糖监测设备,3,90,22868,2587621,2610579
阿拉瑞斯输液泵模块,输液泵,输液管理设备,1,106,1022,680732,681860
T:Slim X2胰岛素泵（带Control-IQ技术）,胰岛素泵,胰岛素给药装置,2,78,47996,454540,502614
德康G7持续葡萄糖监测系统,持续葡萄糖监测系统,血糖监测设备,1,26,7290,444746,452062
阿拉瑞斯系统,输液泵,输液管理设备,1,142,756,385053,385951
骨内牙种植体,牙种植体,口腔植入物,176,1,308544,1607,310152
德康G5移动持续葡萄糖监测系统,持续葡萄糖监测系统,血糖监测设备,1,16,2581,297755,300352
Dexcom G5移动式持续葡萄糖监测系统,持续葡萄糖监测系统,血糖管理设备,1,16,2581,297755,300352
T:Slim X2胰岛素泵（带互操作技术和T:Connect移动应用）,胰岛素泵,胰岛素给药装置,2,31,25137,230981,256149
美敦力670G胰岛素泵（黑色）,人工胰腺系统,胰岛素给药装置,1,366,42327,162707,205400
8100阿拉瑞斯输液泵模块,输液泵,输液管理设备,1,0,8,160132,160140
帕拉迪姆实时Revel胰岛素输注泵,胰岛素泵,胰岛素给药装置,1,847,54553,104444,160001
T:Slim X2胰岛素泵（带Basal-IQ技术）,胰岛素泵,胰岛素给药装置,1,25,12977,126542,139544
光谱输液泵,输液泵,输液管理设备,1,12,221,134816,135166
生命背心WCD 4000系统,穿戴式心脏除颤器,心脏急救设备,1,3425,33494,95607,132531
美敦力640G胰岛素泵MMT-1712K,胰岛素泵,胰岛素给药装置,1,79,806,117754,118640
梦幻站自动CPAP呼吸机,持续气道正压通气设备,呼吸治疗设备,1,1284,17902,98935,118121
DreamStation Auto CPAP 呼吸机,持续气道正压通气设备,呼吸治疗与通气设备,1,1284,17902,98935,118121
自动持续气道正压呼吸机,持续气道正压呼吸机,睡眠呼吸治疗设备,1,1284,17902,98935,118121
帕拉迪姆实时胰岛素输注泵,胰岛素泵,胰岛素给药装置,1,289,10135,104610,115150
稳豪血糖管理系统,胰岛素泵,胰岛素给药装置,1,69,9707,88723,98924
稳悦Verio IQ血糖仪,血糖监测系统,血糖监测设备,1,0,1651,91175,93039
安尼玛斯Vibe胰岛素泵,胰岛素泵,胰岛素给药装置,1,11,1480,84823,86559
美敦力630G胰岛素泵（阈值暂停型）,胰岛素泵/输注系统,胰岛素给药装置,1,295,16014,61704,78013
雅培瞬感传感器（扫描式葡萄糖监测系统）,动态血糖监测系统,血糖监测设备,1,0,35,77740,77775
美敦力640G胰岛素泵（配合有创血糖传感器）,胰岛素泵/输注系统,胰岛素给药装置,1,45,850,75644,76539
雅培瞬感2传感器（扫描式葡萄糖监测系统）,动态血糖监测系统,血糖监测设备,1,0,261,76155,76416
美敦力SynchroMed II植入式程控输注泵,植入式输注泵,植入式给药装置,1,366,51528,24035,75937
美敦力MiniMed 780G自动胰岛素输注系统（单激素控制）,自动胰岛素输注系统,胰岛素给药装置,1,121,17085,57481,74687
美敦力Capsurefix Novus MRI兼容起搏电极,起搏电极导线,心脏起搏系统,1,844,30748,42985,74577
美敦力780G泵（海外版，单激素控制）,自动胰岛素输注系统,胰岛素给药装置,1,3,436,59518,59957
Essure输卵管节育器,输卵管节育装置,避孕器械,1,95,59459,391,59946
BioHorizons牙科种植体,牙科种植体,口腔植入物,1,0,58695,1,58696
Insulet Omnipod 5贴片式胰岛素泵（支持替代控制器）,贴片式胰岛素泵,胰岛素给药装置,1,28,7175,48310,55513
美敦力670G胰岛素泵（单激素人工胰腺系统）,人工胰腺系统,胰岛素给药装置,1,72,10044,44998,55114
美敦力530G胰岛素泵,胰岛素泵/输注系统,胰岛素给药装置,1,468,24557,28181,53233
BD Alaris 8015输液泵系统PC单元,输液泵,输液管理设备,1,0,1,52707,52708
Mentor MemoryGel硅胶乳房植入体,乳房植入体,整形植入物,1,0,51779,848,52628
Tandem t:slim胰岛素输注系统,胰岛素泵/输注系统,胰岛素给药装置,3,55,17726,33126,50919
Tandem t:slim G5动态血糖监测系统,动态血糖监测系统,血糖监测设备,1,15,4467,45292,49774
雅培瞬感2扫描式葡萄糖监测系统,动态血糖监测系统,血糖监测设备,1,18,34622,14809,49449
OneTouch Verio2血糖仪,血糖仪,血糖监测设备,1,0,641,44511,45294
Insulet Omnipod贴片式胰岛素泵,贴片式胰岛素泵,胰岛素给药装置,1,133,10253,33953,44976
G4铂金持续葡萄糖监测系统,持续葡萄糖监测系统,血糖监测设备,1,30,728,43670,44437
美敦力780G混合闭环胰岛素输注系统,混合闭环胰岛素输注系统,胰岛素泵及输注系统,1,7,333,43716,44056
诺贝尔Active骨水平种植体RP 4.3x10mm,骨内牙种植体,牙科种植体,1,0,42308,473,42781
Capsurefix Novus永久起搏电极,永久起搏电极,心脏起搏系统,2,1275,24141,16267,41683
美敦力770G混合闭环胰岛素输注系统,混合闭环胰岛素输注系统,胰岛素泵及输注系统,1,119,5615,35948,41682
InterStim II骶神经刺激器,植入式骶神经刺激器,神经调控设备,1,29,18966,21403,40399
美敦力770G人工胰腺系统,混合闭环胰岛素输注系统,胰岛素泵及输注系统,1,84,7750,31796,39630
骨内牙种植体,牙种植体系统,口腔植入物,23,2,39375,127,39504
BLT骨水平种植体RC 4.1mm SLA 10mm,骨内牙种植体,牙科种植体,1,0,39207,0,39207
OT Ping血糖监测系统,血糖监测系统,血糖监测设备,1,0,690,38062,38819
未知品牌骨内牙种植体,骨内牙种植体,牙科种植体,1,1,38173,452,38626
BioHorizons牙种植体,牙种植体,牙科种植体,1,0,38291,9,38300
诺贝尔Parallel骨水平种植体CC RP 4.3x10mm,骨内牙种植体,牙科种植体,1,2,37479,249,37730
Omnipod胰岛素管理系统,胰岛素泵,胰岛素泵及输注系统,1,20,3025,34431,37476
BLT骨水平种植体RC 4.1mm SLActive 10mm,骨内牙种植体,牙科种植体,1,0,36863,0,36863
Tendril STS永久起搏电极,永久起搏电极,心脏起搏系统,1,1387,20144,15284,36818
美敦力MMT-7841ZN葡萄糖传感器发射器,持续葡萄糖监测传感器,血糖监测设备,1,1,192,35810,36003
Tandem t:slim G4胰岛素泵,胰岛素泵,胰岛素泵及输注系统,1,16,8974,26412,35403
Style 68盐水充注乳房植入体,盐水充注乳房植入体,乳房植入体,1,2,33913,117,34032
Omnipod DASH胰岛素管理系统,胰岛素泵,胰岛素泵及输注系统,1,39,3663,30301,34004
德康G4铂金持续葡萄糖监测系统,持续葡萄糖监测系统,血糖监测设备,2,57,849,32995,33902
植入式心律转复除颤器（非心脏再同步治疗）,植入式心律转复除颤器,心脏节律管理设备,6,314,19249,13130,32694
骨内根形种植体,牙种植体,口腔植入物,17,0,31583,4,31587
连续呼吸机,呼吸机,呼吸支持设备,3,281,566,30288,31167
Inspira光滑面硅胶乳房植入体,硅胶乳房植入体,乳房植入体,1,0,30795,323,31118
诺贝尔替换种植体CC RP 4.3x10mm,牙科种植体,口腔植入物,1,1,30431,270,30702
胰岛素输注泵,胰岛素泵,胰岛素给药装置,14,51,4115,25920,30087
德康G5移动式持续葡萄糖监测系统,持续葡萄糖监测系统,血糖监测设备,1,7,400,29449,29856
美敦力MMT-1884L MM780G蓝牙胰岛素泵（3.0 mg/ml）,胰岛素输注泵,胰岛素给药装置,1,32,5557,23887,29476
诺贝尔主动种植体内部RP 4.3x11.5mm,牙科种植体,口腔植入物,1,0,28912,419,29331
诺贝尔主动种植体内部NP 3.5x10mm,牙科种植体,口腔植入物,1,0,28936,277,29213
内镜GIA吻合器,外科吻合器,手术器械,1,85,3663,25426,29176
BD Pyxis MedStation ES自动发药柜,自动发药系统,药房自动化设备,1,2,17,28988,29007
诺贝尔替换种植体CC PMC RP 4.3x10mm,牙科种植体,口腔植入物,1,0,28826,137,28963
欧姆尼Pod 5胰岛素泵贴片,胰岛素输注泵,胰岛素给药装置,1,0,1737,27154,28891
Intellis脊髓刺激器,脊髓刺激系统,神经调控设备,1,1,7521,21185,28707
Octrode电极套件（60cm）,脊髓刺激电极,神经调控设备,1,29,28322,206,28560
Trilogy 100呼吸机,有创/无创呼吸机,呼吸支持设备,1,264,521,27594,28411
诺贝尔平行种植体CC NP 3.75x10mm,牙科种植体,口腔植入物,1,0,27188,246,27434
HomeChoice自动腹膜透析套装（含卡匣）,腹膜透析系统,透析设备,1,141,3290,23435,26896
Perclose ProGlide 6F缝线介导闭合系统,血管闭合装置,介入手术器械,1,67,26236,314,26617
骨内牙种植体,牙种植体,口腔种植系统,7,1,26352,206,26559
Natura造口保护器,造口护理用品,造口管理,1,0,143,26396,26539
M系列除颤/起搏器,除颤器,心脏急救设备,1,609,10,25734,26394
OT Ultralink血糖仪,血糖监测系统,血糖监测设备,1,1,991,25189,26217
诺贝尔主动种植体内部NP 3.5x11.5mm,牙科种植体,口腔植入物,1,0,25723,352,26075
Animas胰岛素输注泵,胰岛素输注泵,胰岛素给药装置,2,91,2774,22792,25832
HomeChoice腹膜透析系统,腹膜透析系统,透析设备,1,593,443,24546,25600
Dexcom G4 Platinum持续葡萄糖监测系统,持续葡萄糖监测系统,血糖监测设备,1,8,530,24906,25444
Omnipod DASH胰岛素管理系统,胰岛素输注泵,胰岛素给药装置,1,8,1738,23517,25263
BLT骨内牙种植体（3.3mm NC，SLA 10mm，TIZR，LOXIM）,骨内牙种植体,牙科植入物,1,0,24925,0,24925
骨内牙种植体,牙种植体,口腔种植修复设备,5,0,24343,313,24656
Alaris系统PC单元输液泵,输液泵,输液设备,1,5,19,23849,23873
Inspira毛面硅凝胶填充乳房植入体,硅凝胶乳房植入体,乳房植入物,1,1,23767,24,23792
